"date","year","month","day","service","pre_percentage","timepoint","traffic","day_number"
2020-03-10,2020,3,10,"MetroNorth",65,"current",179050,18
2020-03-10,2020,3,10,"MetroNorth",65,"pre_est",275461.538461538,19
2020-03-10,2020,3,10,"AccessARide",105,"current",31315,18
2020-03-10,2020,3,10,"AccessARide",105,"pre_est",29823.8095238095,19
2020-03-10,2020,3,10,"BridgesAndTunnels",93,"current",855585,18
2020-03-10,2020,3,10,"BridgesAndTunnels",93,"pre_est",919983.870967742,19
2020-03-10,2020,3,10,"SIRailway",99,"current",15805,18
2020-03-10,2020,3,10,"SIRailway",99,"pre_est",15964.6464646465,19
2020-03-11,2020,3,11,"Subway",84,"current",4697122,20
2020-03-11,2020,3,11,"Subway",84,"pre_est",5591811.9047619,21
2020-03-11,2020,3,11,"Bus",94,"current",2112967,20
2020-03-11,2020,3,11,"Bus",94,"pre_est",2247837.23404255,21
2020-03-11,2020,3,11,"LIRR",78,"current",245798,20
2020-03-11,2020,3,11,"LIRR",78,"pre_est",315125.641025641,21
2020-03-11,2020,3,11,"MetroNorth",63,"current",175074,20
2020-03-11,2020,3,11,"MetroNorth",63,"pre_est",277895.238095238,21
2020-03-11,2020,3,11,"AccessARide",108,"current",32198,20
2020-03-11,2020,3,11,"AccessARide",108,"pre_est",29812.962962963,21
2020-03-11,2020,3,11,"BridgesAndTunnels",94,"current",866706,20
2020-03-11,2020,3,11,"BridgesAndTunnels",94,"pre_est",922027.659574468,21
2020-03-11,2020,3,11,"SIRailway",96,"current",15340,20
2020-03-11,2020,3,11,"SIRailway",96,"pre_est",15979.1666666667,21
2020-03-12,2020,3,12,"Subway",75,"current",4149505,22
2020-03-12,2020,3,12,"Subway",75,"pre_est",5532673.33333333,23
2020-03-12,2020,3,12,"Bus",86,"current",1938424,22
2020-03-12,2020,3,12,"Bus",86,"pre_est",2253981.39534884,23
2020-03-12,2020,3,12,"LIRR",63,"current",197178,22
2020-03-12,2020,3,12,"LIRR",63,"pre_est",312980.952380952,23
2020-03-12,2020,3,12,"MetroNorth",61,"current",169547,22
2020-03-12,2020,3,12,"MetroNorth",61,"pre_est",277945.901639344,23
2020-03-12,2020,3,12,"AccessARide",104,"current",30814,22
2020-03-12,2020,3,12,"AccessARide",104,"pre_est",29628.8461538462,23
2020-03-12,2020,3,12,"BridgesAndTunnels",96,"current",881188,22
2020-03-12,2020,3,12,"BridgesAndTunnels",96,"pre_est",917904.166666667,23
2020-03-12,2020,3,12,"SIRailway",89,"current",14169,22
2020-03-12,2020,3,12,"SIRailway",89,"pre_est",15920.2247191011,23
2020-03-13,2020,3,13,"Subway",63,"current",3484996,24
2020-03-13,2020,3,13,"Subway",63,"pre_est",5531739.68253968,25
2020-03-13,2020,3,13,"Bus",77,"current",1715737,24
2020-03-13,2020,3,13,"Bus",77,"pre_est",2228229.87012987,25
2020-03-13,2020,3,13,"LIRR",51,"current",158582,24
2020-03-13,2020,3,13,"LIRR",51,"pre_est",310945.098039216,25
2020-03-13,2020,3,13,"MetroNorth",61,"current",167176,24
2020-03-13,2020,3,13,"MetroNorth",61,"pre_est",274059.016393443,25
2020-03-13,2020,3,13,"AccessARide",90,"current",26640,24
2020-03-13,2020,3,13,"AccessARide",90,"pre_est",29600,25
2020-03-13,2020,3,13,"BridgesAndTunnels",93,"current",860419,24
2020-03-13,2020,3,13,"BridgesAndTunnels",93,"pre_est",925181.720430107,25
2020-03-13,2020,3,13,"SIRailway",74,"current",11769,24
2020-03-13,2020,3,13,"SIRailway",74,"pre_est",15904.0540540541,25
2020-03-14,2020,3,14,"Subway",54,"current",1670665,26
2020-03-14,2020,3,14,"Subway",54,"pre_est",3093824.07407407,27
2020-03-14,2020,3,14,"Bus",75,"current",993287,26
2020-03-14,2020,3,14,"Bus",75,"pre_est",1324382.66666667,27
2020-03-14,2020,3,14,"LIRR",42,"current",44885,26
2020-03-14,2020,3,14,"LIRR",42,"pre_est",106869.047619048,27
2020-03-14,2020,3,14,"MetroNorth",29,"current",39701,26
2020-03-14,2020,3,14,"MetroNorth",29,"pre_est",136900,27
2020-03-14,2020,3,14,"AccessARide",79,"current",13394,26
2020-03-14,2020,3,14,"AccessARide",79,"pre_est",16954.4303797468,27
2020-03-14,2020,3,14,"BridgesAndTunnels",72,"current",631101,26
2020-03-14,2020,3,14,"BridgesAndTunnels",72,"pre_est",876529.166666667,27
2020-03-14,2020,3,14,"SIRailway",42,"current",2135,26
2020-03-14,2020,3,14,"SIRailway",42,"pre_est",5083.33333333333,27
2020-03-15,2020,3,15,"Subway",51,"current",1157711,28
2020-03-15,2020,3,15,"Subway",51,"pre_est",2270021.56862745,29
2020-03-15,2020,3,15,"Bus",72,"current",711555,28
2020-03-15,2020,3,15,"Bus",72,"pre_est",988270.833333333,29
2020-03-15,2020,3,15,"LIRR",38,"current",33407,28
2020-03-15,2020,3,15,"LIRR",38,"pre_est",87913.1578947368,29
2020-03-15,2020,3,15,"MetroNorth",35,"current",32641,28
2020-03-15,2020,3,15,"MetroNorth",35,"pre_est",93260,29
2020-03-15,2020,3,15,"AccessARide",71,"current",12480,28
2020-03-15,2020,3,15,"AccessARide",71,"pre_est",17577.4647887324,29
2020-03-15,2020,3,15,"BridgesAndTunnels",66,"current",535987,28
2020-03-15,2020,3,15,"BridgesAndTunnels",66,"pre_est",812101.515151515,29
2020-03-15,2020,3,15,"SIRailway",43,"current",1368,28
2020-03-15,2020,3,15,"SIRailway",43,"pre_est",3181.39534883721,29
2020-03-16,2020,3,16,"Subway",39,"current",2178555,30
2020-03-16,2020,3,16,"Subway",39,"pre_est",5586038.46153846,31
2020-03-16,2020,3,16,"Bus",55,"current",1237309,30
2020-03-16,2020,3,16,"Bus",55,"pre_est",2249652.72727273,31
2020-03-16,2020,3,16,"LIRR",38,"current",119333,30
2020-03-16,2020,3,16,"LIRR",38,"pre_est",314034.210526316,31
2020-03-16,2020,3,16,"MetroNorth",56,"current",153262,30
2020-03-16,2020,3,16,"MetroNorth",56,"pre_est",273682.142857143,31
2020-03-16,2020,3,16,"AccessARide",71,"current",21145,30
2020-03-16,2020,3,16,"AccessARide",71,"pre_est",29781.6901408451,31
2020-03-16,2020,3,16,"BridgesAndTunnels",77,"current",708869,30
2020-03-16,2020,3,16,"BridgesAndTunnels",77,"pre_est",920609.090909091,31
2020-03-16,2020,3,16,"SIRailway",36,"current",5741,30
2020-03-16,2020,3,16,"SIRailway",36,"pre_est",15947.2222222222,31
2020-03-17,2020,3,17,"Subway",32,"current",1788786,32
2020-03-17,2020,3,17,"Subway",32,"pre_est",5589956.25,33
2020-03-17,2020,3,17,"Bus",49,"current",1094949,32
2020-03-17,2020,3,17,"Bus",49,"pre_est",2234589.79591837,33
2020-03-17,2020,3,17,"LIRR",27,"current",83578,32
2020-03-17,2020,3,17,"LIRR",27,"pre_est",309548.148148148,33
2020-03-17,2020,3,17,"MetroNorth",53,"current",147391,32
2020-03-17,2020,3,17,"MetroNorth",53,"pre_est",278096.226415094,33
2020-03-17,2020,3,17,"AccessARide",61,"current",18173,32
2020-03-17,2020,3,17,"AccessARide",61,"pre_est",29791.8032786885,33
2020-03-17,2020,3,17,"BridgesAndTunnels",71,"current",650444,32
2020-03-17,2020,3,17,"BridgesAndTunnels",71,"pre_est",916118.309859155,33
2020-03-17,2020,3,17,"SIRailway",29,"current",4573,32
2020-03-17,2020,3,17,"SIRailway",29,"pre_est",15768.9655172414,33
2020-03-18,2020,3,18,"Subway",29,"current",1625280,34
2020-03-18,2020,3,18,"Subway",29,"pre_est",5604413.79310345,35
2020-03-18,2020,3,18,"Bus",47,"current",1059502,34
2020-03-18,2020,3,18,"Bus",47,"pre_est",2254259.57446809,35
2020-03-18,2020,3,18,"LIRR",24,"current",74883,34
2020-03-18,2020,3,18,"LIRR",24,"pre_est",312012.5,35
2020-03-18,2020,3,18,"MetroNorth",53,"current",146118,34
2020-03-18,2020,3,18,"MetroNorth",53,"pre_est",275694.339622642,35
2020-03-18,2020,3,18,"AccessARide",54,"current",15942,34
